old_value,new_value,in_bc
60996,'U380965Z',True
61011,'U380991Z',True
61013,'U380993Z',True
61021,'U381720Z',True
61025,'U381724Z',True
61028,'U381728Z',True
61181,'U422404P',True
61241,'F430168',False
61260,'U430215',True
61309,'U430536',True
61327,'U430909',True
61584,'U602813-3Z',True
61641,'U603897',True
62286,'U730077Z',True
62376,'U746803Z',True
62382,'U747003Z',True
62430,'U792000Z',True
62654,'U8048101',True
62733,'U8071701',True
62799,'U8105901',True
62836,'U8117601',True
62875,'U8127701Z',True
62897,'U8134601',True
63206,'F8187203',False
63326,'U8204701P',True
63394,'U8221403',True
63561,'U8265501',True
63620,'U8286401',True
63807,'8322803',True
63810,'U8322806',True
63816,'U8322905P',True
63820,'U8322909P',True
63921,'U8344501',True
64121,'U8382804',True
64198,'U8390801',True
64282,'F8406303',True
64283,'U8406304',True
64513,'U8435501',True
64518,'U8436001',True
64684,'U8456201',True
64826,'U8485401',True
64880,'U8496601',True
65134,'U8525501',True
65173,'U8529701',True
65301,'U8546601',True
65326,'U8548801',True
65546,'U8567501',True
65599,'U8577201',True
65744,'U8597801P',True
65746,'U8597803',True
65751,'U8598101P',True
65936,'U8623401',True
66316,'U977P3',True
66317,'U980P3',True
66318,'U982P3',True
66319,'U983P3',True
66685,'G193912',False
66859,'G333674',True
66902,'G582P3',True
67553,'H87533014',True
67620,'H96428560PZ',True
67673,'M400008',False
67679,'M400022',True
67684,'M400034',True
67697,'M400090Z',True
67719,'M400522BZ',True
67736,'M400661',True
67762,'M400780Z',True
67779,'M400912Z',True
67786,'M400944Z',True
67804,'M401000Z',True
67827,'M401182Z',True
67833,'M401223Z',True
67845,'M401256Z',True
67853,'M401357P',False
67854,'M401360Z',True
67855,'M401362Z',True
67857,'M401365Z',True
67859,'M401369',True
67862,'M401375',True
67865,'M401404Z',True
67910,'M402745Z',True
67988,'M406103Z',True
68009,'M406789Z',True
68012,'M406788',True
68020,'M409152Z',True
68049,'M410041',True
68050,'M410042Z',True
68066,'M411813',True
68082,'M410900PZ',True
68083,'M410901PZ',True
68100,'M411134Z',True
68106,'M411191P',False
68117,'M411333',True
68136,'M411425Z',True
68160,'M411683Z',True
68196,'M412156Z',True
68206,'M412227Z',True
68214,'M412362',True
68371,'M413468Z',True
68372,'M413470P',False
68408,'M413614Z',True
68507,'M414215',True
68535,'M414368P',True
68555,'M414564Z',True
68563,'M414704Z',True
68574,'M4221P4',True
68588,'M925P3',True
68609,'M4640P3Z',True
68649,'M4834P3',True
68663,'M4936P3',True
68776,'RB150003',True
68780,'RB170002',True
75667,'SPPRI340055051',True
75967,'SPPRI610060077',True
76979,'5191-108-001',True
76980,'5191-108-003',True
76984,'5191-109-002',True
76985,'5191-109-003',True
77020,'5192-294-001',True
77021,'5192-295-001',True
77038,'5192-299-001',True
77039,'5192-299-002',True
77063,'6292-006-007',True
77066,'6292-006-010',True
77361,'8502-757-002',True
77365,'8502-759-002',True
77476,'8538-151-002',True
77512,'8636-018-001',True
77572,'8640-399-008',True
77593,'8640-414-006',True
77660,'8641-589-002',True
77661,'8641-589-002',True
77685,'8641-585-001',True
77764,'8711-004-001',True
77770,'8711-007-002',True
77773,'8711-009-001',True
77782,'8711-013-001',True
77835,'9021-001-010',True
77879,'9021-016-001',True
77887,'DX-9021-042-001',False
77903,'9021-093-001',True
77904,'9021-094-001',True
77967,'9029-226-001',True
77989,'9035-062-002',True
77998,'9036-130-001',True
78003,'9036-159-001',True
78004,'9036-159-002',True
78009,'9036-159-007',True
78044,'9040-073-009',True
78046,'9040-073-010',True
78047,'9040-073-011',True
78048,'9040-073-012',True
78053,'9040-076-003',True
78054,'9040-076-004',True
78055,'9040-076-005',True
78056,'9040-076-006',True
78057,'9040-076-008',True
78058,'9040-076-009',True
78060,'9040-076-011',True
78062,'9040-077-001',True
78065,'9040-077-003',True
78067,'9040-077-005',True
78069,'9040-079-002',True
78140,'9053-067-002',True
78147,'9053-077-001',True
78306,'9095-043-001',True
78315,'DX-9099-012-002P',False
78318,'9099-012-005',True
78327,'9107-068-001',True
78346,'9108-095-005',True
78390,'9118-049-001',True
78392,'9118-049-003',True
78444,'9150-051-001',True
78446,'DX-9150-053-001',False
78475,'9200-001-002',True
78496,'9206-164-009',True
78512,'9206-411-002',True
78513,'9206-413-001',True
78514,'9206-413-002',True
78519,'9206-419-001',True
78521,'9206-420-002',True
78522,'9206-420-003',True
78524,'9206-420-005',True
78531,'9206-425-001',True
78534,'9206-431-001',True
78600,'9212-002-003',True
78625,'9242-175-005',True
78627,'9242-175-007',True
78638,'9242-449-003',True
78661,'9242-456-001',True
78696,'9244-080-003',True
78700,'9244-082-001',True
78702,'9244-084-001',True
78710,'9244-090-002',True
78711,'9244-091-001',True
78717,'DX-9248-022-002P',False
78782,'9278-040-001',True
78785,'9278-043-001',True
78805,'9307-176-001',True
78806,'9307-176-001',True
78940,'9375-028-013',True
78945,'9375-028-018',True
78962,'9375-030-004',True
78964,'9375-030-006',True
78976,'9375-031-002',True
78978,'9375-031-004',True
78993,'9375-033-002',True
79060,'9376-307-003',True
79061,'9376-308-001',True
79069,'9376-311-005',True
79074,'9376-316-001',True
79075,'9376-317-001',True
79077,'9376-317-003',True
79085,'9376-322-001',True
79089,'9376-329-001',True
79091,'9376-331-001',True
79134,'9379-183-001',True
79148,'9379-183-012',True
79164,'9379-194-001',True
79169,'9379-199-001',True
79171,'9379-199-002',True
79176,'9379-202-001',True
79178,'9379-202-002',True
79272,'9412-167-001',True
79296,'9412-199-001',True
79299,'9412-205-002',True
79301,'9412-206-002',True
79303,'9412-207-002',True
79305,'9412-208-002',True
79309,'9412-210-002',True
79313,'9412-212-002',True
79317,'9412-214-002',True
79395,'9435-029-001',True
79399,'9435-032-001',True
79405,'9435-038-002',True
79442,'9451-181-004',True
79443,'9451-181-005',True
79496,'9452-770-001',True
79525,'9453-169-010',True
79528,'9453-169-013',True
79530,'9453-170-002',True
79536,'9453-175-002',True
79618,'9454-736-001',True
79645,'9454-814-001',True
79684,'9454-904-001',True
79685,'9454-905-001',True
79697,'9456-041-007',True
79711,'9467-025-001',True
79720,'9471-015-001',True
79722,'9471-016-003',True
79738,'9473-004-007',True
79740,'9473-004-009',True
79741,'9473-005-001',True
79742,'9473-006-001',True
79749,'9473-009-005',True
79750,'9473-010-001',True
79752,'9475-002-003',True
79756,'9483-004-001',True
79757,'9483-004-002',True
79766,'9486-137-002',True
79770,'9486-149-001',True
79785,'9487-238-004',True
79788,'9487-200-006',True
79801,'9487-234-001',True
79802,'9487-234-002',True
79880,'DX-9501-004-001',False
79881,'9501-004-002',True
79882,'9501-004-003',True
79885,'9501-006-001',True
79904,'9527-002-002',True
79939,'DX-9532-143-001',False
79946,'9534-151-000',True
79948,'9534-319-002',True
79976,'9536-074-001',True
80016,'9538-157-015',True
80027,'9538-163-006',True
80039,'9538-173-002',True
80090,'9539-457-002',True
80091,'9539-457-003',True
80092,'9539-457-004',True
80094,'9539-460-001',True
80101,'9539-461-007',True
80102,'9539-461-008',True
80103,'9539-461-009',True
80120,'9539-474-004',True
80121,'9539-474-005',True
80136,'9539-487-001',True
80138,'9539-488-001',True
80139,'9539-489-001',True
80140,'9539-489-002',True
80141,'9539-490-001',True
80143,'9539-491-001',True
80144,'9539-492-001',True
80152,'9539-501-001',True
80184,'9545-008-012',True
80191,'9545-008-023',True
80194,'DX-9545-008-026P',False
80197,'9545-008-030',True
80224,'9545-012-028',True
80248,'9545-018-017',True
80250,'9545-018-019',True
80253,'9545-018-024',True
80286,'9545-029-012P',True
80311,'9545-045-010',True
80317,'9545-053-002',True
80321,'9545-056-001',True
80367,'9552-013-000',True
80385,'9555-057-002',True
80388,'9555-057-008',True
80412,'9568-011-001',True
80431,'9571-350-004',True
80465,'9576-203-002',True
80471,'DX-9576-207-003',False
80474,'9576-207-006',True
