old_value,new_value
5,EQP-NEW
4,PRT-NEW
1,PRT-NEW
10,GENERAL
12,GENERAL
6,GENERAL
9,GENERAL
7,GENERAL
8,GENERAL
11,GENERAL
13,GENERAL
14,GENERAL
3,GENERAL
