old_value,new_value
5,EQP-OPL-NEW
4,PRT-OPL-NEW
1,PRT-OPL-NEW
10,PRT-DRPSHP
12,SRV-SUPPLY
6,SRV-CHARGE
9,INS-GEN
7,INS-TRAILER
8,INS-RTE
11,DSC-PRT
13,ZZZ-REVIEW
14,ZZZ-REVIEW
3,INS-PARK
